opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
Ripon Red Hawks,"Fri, Nov 8",Virginia Wesleyan Marlins,Away,L,36.0,79.0,-43.0
Ripon Red Hawks,"Sat, Nov 9",Kean Cougars,Neutral Court,W,55.0,47.0,8.0
Ripon Red Hawks,"Sat, Nov 16",Lakeland Muskies,Away,W,75.0,63.0,12.0
Ripon Red Hawks,"Wed, Nov 20",St. Norbert Green Knights,Home,L,59.0,67.0,-8.0
Ripon Red Hawks,"Tue, Nov 26",Carthage Firebirds,Away,L,66.0,76.0,-10.0
Ripon Red Hawks,"Sat, Nov 30",Wisconsin-Superior Yellowjackets,Home,W,60.0,49.0,11.0
Ripon Red Hawks,"Tue, Dec 3",UW-Oshkosh Titans,Home,L,83.0,91.0,-8.0
Ripon Red Hawks,"Sat, Dec 7",Illinois College Blueboys,Away,L,52.0,65.0,-13.0
Ripon Red Hawks,"Sat, Dec 14",Knox Prairie Fire,Home,W,74.0,63.0,11.0
Ripon Red Hawks,"Sat, Dec 21",UW-La Crosse Eagles,Away,L,74.0,86.0,-12.0
Ripon Red Hawks,"Tue, Dec 31",UW-Whitewater Warhawks,Away,L,70.0,81.0,-11.0
Ripon Red Hawks,"Sat, Jan 4",Beloit Buccaneers,Home,L,44.0,65.0,-21.0
