team,player,side,cell_hy,cell_hx,frames
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,30,5,14
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,35,0,2
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,35,10,4
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,30,20,4
UW-Oshkosh Titans,TEAM,offense,25,20,61
UW-Whitewater,TEAM,defense,15,45,14
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,25,40,6
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,35,35,5
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,35,25,8
UW-Oshkosh Titans,Brandon Beck,defense,25,20,13
UW-Oshkosh Titans,Brandon Beck,defense,25,25,7
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,20,5
UW-Oshkosh Titans,TEAM,offense,15,20,58
UW-Whitewater,TEAM,defense,5,20,35
UW-Whitewater,TEAM,defense,5,15,26
UW-Oshkosh Titans,TEAM,offense,5,15,12
UW-Whitewater,TEAM,defense,30,0,13
UW-Oshkosh Titans,TEAM,offense,15,0,17
UW-Whitewater,TEAM,defense,10,0,3
UW-Whitewater,TEAM,defense,5,30,25
UW-Whitewater,TEAM,defense,5,35,22
UW-Oshkosh Titans,TEAM,offense,5,35,32
UW-Oshkosh Titans,TEAM,offense,5,40,25
UW-Oshkosh Titans,TEAM,offense,20,40,36
UW-Whitewater,TEAM,defense,10,25,41
UW-Oshkosh Titans,TEAM,defense,45,35,28
UW-Whitewater,TEAM,offense,10,0,11
UW-Whitewater,TEAM,offense,5,0,8
UW-Oshkosh Titans,TEAM,defense,40,30,117
UW-Whitewater,TEAM,defense,35,0,12
UW-Whitewater,TEAM,offense,35,35,62
UW-Oshkosh Titans,TEAM,offense,20,45,14
UW-Whitewater,TEAM,offense,40,30,65
UW-Whitewater,TEAM,offense,40,35,72
UW-Oshkosh Titans,TEAM,defense,45,10,8
UW-Oshkosh Titans,TEAM,defense,45,30,54
UW-Oshkosh Titans,TEAM,defense,45,25,68
UW-Oshkosh Titans,Brandon Beck,offense,30,25,5
UW-Oshkosh Titans,Brandon Beck,offense,20,30,2
UW-Oshkosh Titans,Brandon Beck,offense,20,35,9
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,25,40,8
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,20,40,4
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,15,35,8
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,25,30,8
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,0,20,7
UW-Oshkosh Titans,TEAM,defense,5,45,28
UW-Oshkosh Titans,TEAM,offense,0,35,66
UW-Oshkosh Titans,TEAM,offense,5,45,5
UW-Whitewater,Jake Quast,defense,15,10,17
UW-Whitewater,Jake Quast,defense,20,5,6
UW-Whitewater,Jake Quast,defense,10,15,16
UW-Whitewater,Jake Quast,defense,35,20,13
UW-Whitewater,Jake Quast,defense,30,25,8
UW-Whitewater,Jake Quast,defense,35,10,12
UW-Whitewater,Jake Quast,defense,35,5,8
UW-Whitewater,TEAM,defense,5,25,30
UW-Oshkosh Titans,TEAM,defense,45,45,13
UW-Whitewater,Jake Quast,offense,5,40,2
UW-Whitewater,TEAM,offense,25,0,20
UW-Oshkosh Titans,TEAM,defense,45,40,21
UW-Whitewater,Jake Quast,offense,15,35,3
UW-Whitewater,Jake Quast,offense,10,30,19
UW-Whitewater,Jake Quast,offense,15,20,10
UW-Whitewater,Jake Quast,offense,40,20,7
UW-Whitewater,Jake Quast,offense,35,15,3
UW-Whitewater,Jake Quast,offense,30,15,11
UW-Whitewater,Jake Quast,offense,10,15,3
UW-Whitewater,Jake Quast,offense,5,15,15
